condition,lambda_a,lambda_b,lambda_c,persistence,entropy,dissipation_rate,active
memoryless,-0.36416618791815913,0.002166921248682681,0.0,0.0,1.7790351712826729,0.328188832006238,39.892125
persistent,1.9166103622953405,0.6443095454057894,1.0390388517311155,96.86285016400124,3.475110838340882,0.21281298823870476,111.439
persistent+branching,1.6415094301872344,0.7702314635019628,1.0916306682452197,87.9317635597625,3.925503090978399,0.17679212538723124,227.586125
anti_coupled,1.214364808350815,-1.6669781793134621,1.3380953020045367,70.72522437082962,2.7354777039078715,0.35202794630753376,130.079125
throughput_blind,1.143131617323287,0.020852873694941435,1.0308737352773487,11.914312329384229,3.6062229146423035,0.30008064403935275,141.979375
lifetime_cap_50,1.4378375784840849,0.528754071712057,0.7477800549165265,21.690128615777006,3.937461875949016,0.21356078588374744,223.48125
no_noise,1.7206485235985338,0.8704174246163715,0.36005517150502636,850.6823667823097,3.936567798825704,0.16899527290029528,236.251625
