condition,epsilon,ss_mean_age,ss_recurrence,ss_propagation,ss_complexity,ss_entropy_prod,ss_active_area,ss_n_reinforced,ss_max_reinf
baseline,0.0,99.2929417843639,0.9887263381077123,0.026144234397807997,0.007039858147916183,3.166502974396536,289.98333333333335,762.9038888888889,9.95
ε=0.05,0.05,98.78569030209137,0.9887206369422867,0.025912778256547617,0.006821768055665619,3.1729689301749624,290.555,761.1930555555556,9.95
ε=0.10,0.1,98.14408355689912,0.9887105459597683,0.027406641431148463,0.007040344733946201,3.1747169370954635,289.62333333333333,760.1952777777777,9.95
ε=0.20,0.2,100.2353132572128,0.9887577904349849,0.024643865323839508,0.006648241789873007,3.180113872197826,292.1091666666667,757.8052777777777,9.95
ε=0.40,0.4,98.75947500946943,0.9887292844091147,0.028362640563271025,0.006831500604301023,3.1833747318563343,290.84722222222223,756.7905555555556,9.95
reinf+no_noise,0.4,1251.211875,1.0,0.535,0.0014490288825837509,3.174468643991483,369.125,140.71416666666667,9.95
high_persist,0.0,99.19308182200226,0.9888276981036566,0.02368990178572243,0.007321404182540437,3.1683739799119706,287.27444444444444,763.7425,9.95
