regime,regime_name,cum_entropy_mean,cum_entropy_std,final_entropy_mean,final_entropy_std,final_frag_mean,final_energy_out_mean,final_active_area_mean,final_mean_age,final_kl_mean,final_eff_modes
1,memoryless,1601.6189057903516,2.623277995183994,3.2005058035959255,0.11184589053510394,619.6060606060606,28.08872757483243,119.62929292929293,0.0,0.7994941964040749,9.220125876606817
2,persistent,1975.6393080536677,2.7427855888963966,3.993499374250718,0.002065128568782451,640.0,46.25820609520955,456.45454545454544,95.24549211312338,0.006500625749282091,15.928084231296642
3,persistent+branching,1994.6613625079262,0.676189189367222,3.999994017085334,2.405022667218502e-06,640.0,53.4199893020843,858.6060606060606,98.39535637266317,5.982914665745158e-06,15.99993364751288
